x,y,team,position,name
45,250,A,GK,Pickford
376,84,A,LB,Walker
333,185,A,LCB,Maguire
333,279,A,RCB,Stones
376,377,A,RB,Alexander-Arnold
454,202,A,LCM,Rice
454,295,A,RCM,Phillips
567,123,A,LW,Grealish
567,240,A,CAM,Mount
567,341,A,RW,Foden
692,245,A,ST,Kane
