x,y,team,position,name
45,250,A,GK,Pickford
302,240,A,CB,Stones
359,126,A,LCB,Maguire
359,343,A,RCB,Walker
584,87,A,LWB,Shaw
515,198,A,LCM,Rice
515,307,A,RCM,Phillips
584,250,A,RWB,Trippier
601,196,A,LAM,Mount
601,278,A,RAM,Sterling
753,238,A,ST,Kane
